"WHO region","Year","Number of deaths due to HIV/AIDS"
"South-East Asia"," 2009","250 000 [170 000-390 000]"
"South-East Asia"," 2008","280 000 [190 000-430 000]"
"South-East Asia"," 2007","310 000 [200 000-470 000]"
"South-East Asia"," 2006","320 000 [210 000-490 000]"
"South-East Asia"," 2005","330 000 [220 000-510 000]"
"South-East Asia"," 2004","330 000 [220 000-510 000]"
"South-East Asia"," 2003","320 000 [210 000-480 000]"
"South-East Asia"," 2002","300 000 [200 000-450 000]"
"South-East Asia"," 2001","270 000 [180 000-420 000]"
"South-East Asia"," 2000","240 000 [160 000-370 000]"
"South-East Asia"," 1999","210 000 [140 000-320 000]"
"South-East Asia"," 1998","180 000 [120 000-270 000]"
"South-East Asia"," 1997","150 000 [99 000-230 000]"
"South-East Asia"," 1996","120 000 [79 000-180 000]"
"South-East Asia"," 1995","92 000 [62 000-140 000]"
"South-East Asia"," 1994","69 000 [46 000-110 000]"
"South-East Asia"," 1993","50 000 [33 000-76 000]"
"South-East Asia"," 1992","34 000 [23 000-52 000]"
"South-East Asia"," 1991","22 000 [15 000-33 000]"
"South-East Asia"," 1990","13 000 [8600-20 000]"
"Europe"," 2020","40 000 [31 000-51 000]"
"Europe"," 2019","37 000 [29 000-48 000]"
"Europe"," 2018","36 000 [28 000-46 000]"
"Europe"," 2017","35 000 [27 000-45 000]"
"Europe"," 2016","37 000 [29 000-48 000]"
"Europe"," 2015","36 000 [28 000-47 000]"
"Europe"," 2014","36 000 [28 000-46 000]"
"Europe"," 2013","36 000 [28 000-46 000]"
"Europe"," 2012","36 000 [28 000-46 000]"
"Europe"," 2011","34 000 [27 000-44 000]"
"Europe"," 2010","32 000 [25 000-41 000]"
"Europe"," 2009","30 000 [23 000-39 000]"
"Europe"," 2008","29 000 [23 000-37 000]"
"Europe"," 2007","29 000 [23 000-38 000]"
"Europe"," 2006","29 000 [23 000-37 000]"
"Europe"," 2005","27 000 [21 000-34 000]"
"Europe"," 2004","24 000 [18 000-30 000]"
"Europe"," 2003","20 000 [16 000-27 000]"
"Europe"," 2002","18 000 [14 000-23 000]"
"Europe"," 2001","15 000 [12 000-20 000]"
"Europe"," 2000","13 000 [10 000-17 000]"
"Europe"," 1999","12 000 [9600-16 000]"
"Europe"," 1998","13 000 [9800-16 000]"
"Europe"," 1997","17 000 [13 000-22 000]"
"Europe"," 1996","22 000 [17 000-28 000]"
"Europe"," 1995","23 000 [18 000-29 000]"
"Europe"," 1994","21 000 [16 000-27 000]"
"Europe"," 1993","19 000 [14 000-24 000]"
"Europe"," 1992","16 000 [13 000-21 000]"
"Europe"," 1991","14 000 [11 000-18 000]"
"Europe"," 1990","12 000 [8900-15 000]"
